EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
34115,Moreland,Jimmy,WAS,CB,20,25,182,71,2,James Madison
23205,Bouye,A.J.,DVB,CB,21,29,191,72,8,UCF
21157,Allen,Josh,JKJ,LB,41,23,262,77,2,Kentucky
70267,Jones,Xavier,LAR,RB,35,23,208,71,0,SMU
50096,Brown,Tony,WAS,WR,12,23,195,73,0,Colorado
28238,Burrow,Joe,CNB,QB,9,23,221,76,0,LSU
10668,Al-Shaair,Azeez,SFN,LB,51,23,228,74,2,Florida Atlantic
28633,Brown,Duane,STS,OT,76,35,315,76,13,Virginia Tech
21742,McManus,Brandon,DVB,K,8,29,201,75,7,Temple
31354,Omenihu,Charles,HST,DE,94,23,280,77,2,Texas
13007,Hawkins,Jaylinn,ATF,S,32,23,208,73,0,California
97577,Allen,Ricardo,ATF,S,37,28,186,69,6,Purdue
20211,Schultz,Dalton,DLC,TE,86,24,255,77,3,Stanford
97820,Aiyuk,Brandon,SFN,WR,11,22,200,72,0,Arizona State
47827,Runyan,Jon,GBP,G,76,23,307,76,0,Michigan
42298,O'Daniel,Dorian,KCC,LB,44,26,220,73,3,Clemson
21250,Armstead,Terron,NOS,OT,72,29,304,77,8,Arkansas-Pine Bluff
49953,Watkins,Sammy,KCC,WR,14,27,211,73,7,Clemson
91482,Brissett,Jacoby,INC,QB,7,27,238,76,5,North Carolina State
60448,Taylor,Vincent,CLB,DT,96,26,311,75,4,Oklahoma State
62636,Tretter,JC,CLB,C,64,29,307,76,8,Cornell
60827,Parker,Steven,DLC,S,40,24,210,73,2,Oklahoma
67114,Jansen,J.J.,CAP,LS,44,34,235,74,13,Notre Dame
17391,Hill,Troy,LAR,CB,22,29,183,71,5,Oregon
67064,Aboushi,Oday,DTL,G,76,29,315,77,8,Virginia
11028,Pulley,Spencer,NYG,C,77,27,309,76,5,Vanderbilt
27212,Lutz,Wil,NOS,K,3,26,184,71,5,Georgia State
99468,Dissly,Will,STS,TE,89,24,265,76,3,Washington
50687,Taylor,Davion,PHE,LB,52,22,230,73,0,Colorado
91588,Everett,Deshazor,WAS,S,22,28,203,72,6,Texas A&M
36349,Harris,Deonte,NOS,WR,11,22,170,66,2,Assumption
76208,Ebner,Nate,NYG,S,43,31,215,72,9,Ohio State
87422,Turner,Malik,DLC,WR,17,24,202,74,3,Illinois
48251,Lockett,Tyler,STS,WR,16,28,182,70,6,Kansas State
98263,Dowdle,Rico,DLC,RB,34,22,215,71,0,South Carolina
42755,Yeldon,T.J.,BFB,RB,22,27,223,73,6,Alabama
47842,Haeg,Joe,TBB,OT,73,27,298,78,5,North Dakota State
26570,Washington,Charles,AZC,S,28,27,192,70,4,Fresno State
14373,Roberts,Elandon,MMD,LB,44,26,238,72,5,Houston
90919,Moffatt,Jovante,CLB,S,35,23,213,71,0,Middle Tennessee
10075,McKivitz,Colton,SFN,OT,68,24,301,78,0,West Virginia
10762,Ebron,Eric,PTS,TE,85,27,253,76,7,North Carolina
60758,Ford,Poona,STS,DT,97,24,310,71,3,Texas
96333,Barber,Peyton,WAS,RB,34,26,225,71,5,Auburn
26686,Looney,Joe,DLC,C,73,30,310,75,9,Wake Forest
15248,Johnson,Isaiah,LVR,CB,31,24,210,74,2,Houston
93314,Larsen,Tyler,CAP,C,69,29,325,76,5,Utah State
78242,Linsley,Corey,GBP,C,63,29,301,75,7,Ohio State
70458,Moseley,Emmanuel,SFN,CB,41,24,190,71,3,Tennessee
27834,Fuller,Kendall,WAS,CB,29,25,198,71,5,Virginia Tech
27863,Dobbs,Joshua,PTS,QB,5,25,216,75,4,Tennessee
62449,Hekker,Johnny,LAR,P,6,30,241,77,9,Oregon State
62631,Gilbert,Garrett,DLC,QB,3,29,230,76,3,SMU
34521,Sendejo,Andrew,CLB,S,23,33,210,73,10,Rice
11543,Williams,K'Waun,SFN,CB,24,29,185,69,6,Pittsburgh
92406,Lee,Andy,AZC,P,4,38,185,73,17,Pittsburgh
43016,Allegretti,Nick,KCC,G,73,24,320,76,2,Illinois
58429,Scales,Patrick,CHB,LS,48,32,226,75,5,Utah State
63656,Colon-Castillo,Trystan,BLR,C,63,22,313,75,0,Missouri
95658,Cappa,Alex,TBB,G,65,25,305,78,3,Humboldt State
87208,Haynes,Marquis,CAP,DE,98,26,235,74,3,Ole Miss
38856,Fox,Morgan,LAR,DE,97,26,275,75,4,Colorado State-Pueblo
60756,Bridgewater,Teddy,CAP,QB,5,27,215,74,7,Louisville
20349,Davis,Tae,CLB,LB,55,24,224,73,3,Chattanooga
55977,Connelly,Ryan,MNV,LB,57,25,236,74,2,Wisconsin
62617,Jones,D.J.,SFN,DT,93,25,305,72,4,Ole Miss
82641,Bernard,Giovani,CNB,RB,25,28,205,69,8,North Carolina
74715,Cox,Chandler,MMD,FB,27,24,240,73,2,Auburn
45296,Nijman,Yosh,GBP,OT,73,24,314,79,1,Virginia Tech
45109,Jones,Julio,ATF,WR,11,31,220,75,10,Alabama
49041,Amendola,Danny,DTL,WR,80,35,185,71,12,Texas Tech
17964,Clark,Le'Raven,INC,OT,62,27,311,77,5,Texas Tech
30287,Phillips,Darius,CNB,CB,23,25,190,70,3,Western Michigan
75167,Zimmer,Justin,BFB,DT,61,28,300,75,2,Ferris State
59688,Byrd,Damiere,NEP,WR,10,27,180,69,5,South Carolina
48397,Boswell,Chris,PTS,K,9,29,185,74,6,Rice
23625,Roberson,Derick,TNT,LB,50,24,250,75,2,Sam Houston State
42504,Watts,Armon,MNV,DT,96,24,295,77,2,Arkansas
44564,Hockenson,T.J.,DTL,TE,88,23,250,77,2,Iowa
94554,Johnson,Lane,PHE,OT,65,30,317,78,8,Oklahoma
80252,Campbell,Tevaughn,LAC,CB,37,27,200,72,1,U Regina ca
10635,Woods,Antwaun,DLC,DT,99,27,310,73,3,USC
42282,Slye,Joey,CAP,K,4,24,213,71,2,Virginia Tech
43746,Wirfs,Tristan,TBB,OT,78,21,320,77,0,Iowa
48197,Garcia,Max,AZC,G,73,28,309,76,6,Florida
93440,Nickerson,Hardy,MNV,LB,47,26,235,72,4,Illinois
39435,Franklin,Zaire,INC,LB,44,24,235,72,3,Syracuse
89385,Sullivan,Chandon,GBP,CB,39,24,189,71,3,Georgia State
18908,Barton,Jackson,NYG,OT,72,25,302,79,2,Utah
67960,Fort,L.J.,BLR,LB,58,30,232,72,6,Northern Iowa
40096,Triner,Zach,TBB,LS,97,29,245,75,2,Assumption
55371,Speed,E.J.,INC,LB,45,25,224,75,2,Tarleton State
12050,Takitaki,Sione,CLB,LB,44,25,238,73,2,BYU
41872,Schobert,Joe,JKJ,LB,47,27,245,73,5,Wisconsin
48427,Burks,Oren,GBP,LB,42,25,233,75,3,Vanderbilt
34064,Dawkins,Dion,BFB,OT,73,26,320,77,4,Temple
61516,Cooks,Brandin,HST,WR,13,27,183,70,7,Oregon State
20097,Floyd,Leonard,LAR,LB,54,28,240,77,5,Georgia
85684,Stephens,Linden,STS,CB,34,25,193,72,1,Cincinnati
58738,Conklin,Tyler,MNV,TE,83,25,254,75,3,Central Michigan
85509,Jennings,Anfernee,NEP,LB,58,23,259,75,0,Alabama
61405,Adams,Jamal,STS,S,33,25,213,73,3,LSU
33302,Batson,Cameron,TNT,WR,13,24,175,68,3,Texas Tech
59512,Taylor,Jonathan,INC,RB,28,21,226,70,0,Wisconsin
74961,Graham,Jaeden,ATF,TE,87,25,250,76,2,Yale
46894,Hicks,Jordan,AZC,LB,58,28,236,73,6,Texas
53877,Vallejo,Tanner,AZC,LB,51,25,230,73,4,Boise State
65668,Bakhtiari,David,GBP,OT,69,29,310,76,8,Colorado
61448,Inman,Dontrelle,WAS,WR,80,31,205,75,7,Virginia
88001,Patrick,Lucas,GBP,G,62,27,313,75,4,Duke
53873,Bailey,Jake,NEP,P,7,23,205,74,2,Stanford
28293,Murray,Justin,AZC,OT,71,27,315,77,3,Cincinnati
98834,McCourty,Devin,NEP,S,32,33,195,70,11,Rutgers
72546,Matakevich,Tyler,BFB,LB,44,27,235,73,5,Temple
99030,McCoy,LeSean,TBB,RB,25,32,210,71,12,Pittsburgh
59198,Tillery,Jerry,LAC,DT,99,24,295,78,2,Notre Dame
36802,White,Devin,TBB,LB,45,22,237,72,2,LSU
88538,Hurst,Hayden,ATF,TE,81,27,260,76,3,South Carolina
44419,Jones,Chris,MNV,CB,26,25,200,72,2,Nebraska
62777,Martin,Marcus,DTL,G,62,26,330,75,6,USC
45704,Ogbuehi,Cedric,STS,OT,74,28,308,77,6,Texas A&M
30117,Renfrow,Hunter,LVR,WR,13,24,185,70,2,Clemson
79860,Lovato,Rick,PHE,LS,45,28,249,74,4,Old Dominion
38153,Mason,Shaq,NEP,G,69,27,310,73,6,Georgia Tech
74604,Hollins,Mack,MMD,WR,86,27,221,76,4,North Carolina
53982,Robinson,Edmond,ATF,LB,46,28,245,75,4,Newberry
85720,Nelson,Anthony,TBB,LB,98,23,271,79,2,Iowa
54327,Allen,Ryan,TNT,P,9,30,220,74,8,Louisiana Tech
70091,McKinley,Takkarist,ATF,DE,98,25,250,74,4,UCLA
89486,Trevathan,Danny,CHB,LB,59,30,237,72,9,Kentucky
34309,Carpenter,James,ATF,G,77,31,321,77,10,Alabama
44628,Gill,Cam,TBB,LB,49,22,240,75,0,Wagner
23459,Sharpe,David,WAS,OT,72,25,330,78,4,Florida
45436,Diggs,Stefon,BFB,WR,14,26,191,72,6,Maryland
12282,Hennessy,Thomas,NYJ,LS,42,26,246,74,4,Duke
51984,Trufant,Desmond,DTL,CB,23,30,190,73,8,Washington
46938,Hofrichter,Sterling,ATF,P,4,23,196,70,0,Syracuse
92687,Phillips,Jacob,CLB,LB,50,21,229,75,0,LSU
72884,Evans,Mike,TBB,WR,13,27,231,77,7,Texas A&M
99159,Robertson-Harris,Roy,CHB,DE,95,27,298,77,4,UTEP
28306,Holcomb,Cole,WAS,LB,55,24,240,73,2,North Carolina
